SVSPP,SPNAME,SCINAME
1,ATLANTIC HAGFISH,MYXINE GLUTINOSA
2,SEA LAMPREY,PETROMYZON MARINUS
4,ROUGHTAIL STINGRAY,DASYATIS CENTROURA
9,SANDBAR SHARK,CARCHARHINUS PLUMBEUS
13,SMOOTH DOGFISH,MUSTELUS CANIS
14,CHAIN DOGFISH,SCYLIORHINUS RETIFER
15,SPINY DOGFISH,SQUALUS ACANTHIAS
16,ATLANTIC ANGEL SHARK,SQUATINA DUMERIL
18,BLUNTNOSE STINGRAY,DASYATIS SAY
19,BULLNOSE RAY,MYLIOBATIS FREMINVILLEI
21,ATLANTIC TORPEDO,TORPEDO NOBILIANA
22,BARNDOOR SKATE,DIPTURUS LAEVIS
23,WINTER SKATE,LEUCORAJA OCELLATA
24,CLEARNOSE SKATE,RAJA EGLANTERIA
25,ROSETTE SKATE,LEUCORAJA GARMANI
26,LITTLE SKATE,LEUCORAJA ERINACEA
27,SMOOTH SKATE,MALACORAJA SENTA
28,THORNY SKATE,AMBLYRAJA RADIATA
29,SOUTHERN STINGRAY,DASYATIS AMERICANA
31,ROUND HERRING,ETRUMEUS TERES
32,ATLANTIC HERRING,CLUPEA HARENGUS
33,ALEWIFE,ALOSA PSEUDOHARENGUS
34,BLUEBACK HERRING,ALOSA AESTIVALIS
35,AMERICAN SHAD,ALOSA SAPIDISSIMA
36,ATLANTIC MENHADEN,BREVOORTIA TYRANNUS
43,BAY ANCHOVY,ANCHOA MITCHILLI
44,STRIPED ANCHOVY,ANCHOA HEPSETUS
45,RAINBOW SMELT,OSMERUS MORDAX
46,ATLANTIC ARGENTINE,ARGENTINA SILUS
63,CONGER EEL,CONGER OCEANICUS
67,SLENDER SNIPE EEL,NEMICHTHYS SCOLOPACEUS
69,OFFSHORE HAKE,MERLUCCIUS ALBIDUS
72,SILVER HAKE,MERLUCCIUS BILINEARIS
73,ATLANTIC COD,GADUS MORHUA
74,HADDOCK,MELANOGRAMMUS AEGLEFINUS
75,POLLOCK,POLLACHIUS VIRENS
76,WHITE HAKE,UROPHYCIS TENUIS
77,RED HAKE,UROPHYCIS CHUSS
78,SPOTTED HAKE,UROPHYCIS REGIA
79,LONGFIN HAKE,UROPHYCIS CHESTERI
83,FOURBEARD ROCKLING,ENCHELYOPUS CIMBRIUS
84,CUSK,BROSME BROSME
91,MARLIN-SPIKE,NEZUMIA BAIRDI
101,ATLANTIC HALIBUT,HIPPOGLOSSUS HIPPOGLOSSUS
102,AMERICAN PLAICE,HIPPOGLOSSOIDES PLATESSOIDES
103,SUMMER FLOUNDER,PARALICHTHYS DENTATUS
104,FOURSPOT FLOUNDER,PARALICHTHYS OBLONGUS
105,YELLOWTAIL FLOUNDER,LIMANDA FERRUGINEA
106,WINTER FLOUNDER,PSEUDOPLEURONECTES AMERICANUS
107,WITCH FLOUNDER,GLYPTOCEPHALUS CYNOGLOSSUS
108,WINDOWPANE,SCOPHTHALMUS AQUOSUS
109,GULF STREAM FLOUNDER,CITHARICHTHYS ARCTIFRONS
111,LONGSPINE SNIPEFISH,MACRORHAMPHOSUS SCOLOPAX
112,BUCKLER DORY,ZENOPSIS CONCHIFERA
113,ATLANTIC SILVERSIDE,MENIDIA MENIDIA
114,BLACKMOUTH BASS,SYNAGROPS BELLUS
115,THREESPINE STICKLEBACK,GASTEROSTEUS ACULEATUS
116,NORTHERN PIPEFISH,SYNGNATHUS FUSCUS
117,SMALLMOUTH FLOUNDER,ETROPUS MICROSTOMUS
118,HOGCHOKER,TRINECTES MACULATUS
121,ATLANTIC MACKEREL,SCOMBER SCOMBRUS
124,CHUB MACKEREL,SCOMBER JAPONICUS
126,ATLANTIC CUTLASSFISH,TRICHIURUS LEPTURUS
129,BLUE RUNNER,CARANX CRYSOS
131,BUTTERFISH,PEPRILUS TRIACANTHUS
132,ATLANTIC MOONFISH,SELENE SETAPINNIS
133,LOOKDOWN,SELENE VOMER
134,BIGEYE,PRIACANTHUS ARENATUS
135,BLUEFISH,POMATOMUS SALTATRIX
136,ATLANTIC CROAKER,MICROPOGONIAS UNDULATUS
139,STRIPED BASS,MORONE SAXATILIS
141,BLACK SEA BASS,CENTROPRISTIS STRIATA
142,PIGFISH,ORTHOPRISTIS CHRYSOPTERA
143,SCUP,STENOTOMUS CHRYSOPS
145,WEAKFISH,CYNOSCION REGALIS
146,NORTHERN KINGFISH,MENTICIRRHUS SAXATILIS
148,SILVER PERCH,BAIRDIELLA CHRYSOURA
149,SPOT,LEIOSTOMUS XANTHURUS
155,ACADIAN REDFISH,SEBASTES FASCIATUS
156,BLACKBELLY ROSEFISH,HELICOLENUS DACTYLOPTERUS
158,DEEPBODY BOARFISH,ANTIGONIA CAPROS
161,MOUSTACHE SCULPIN,TRIGLOPS MURRAYI
163,LONGHORN SCULPIN,MYOXOCEPHALUS OCTODECEMSPINOSUS
164,SEA RAVEN,HEMITRIPTERUS AMERICANUS
165,ALLIGATORFISH,ASPIDOPHOROIDES MONOPTERYGIUS
166,GRUBBY,MYOXOCEPHALUS AENAEUS
168,LUMPFISH,CYCLOPTERUS LUMPUS
170,ATLANTIC SEASNAIL,LIPARIS ATLANTICUS
171,NORTHERN SEAROBIN,PRIONOTUS CAROLINUS
172,STRIPED SEAROBIN,PRIONOTUS EVOLANS
173,ARMORED SEAROBIN,PERISTEDION MINIATUM
176,CUNNER,TAUTOGOLABRUS ADSPERSUS
177,TAUTOG,TAUTOGA ONITIS
179,NORTHERN STARGAZER,ASTROSCOPUS GUTTATUS
181,NORTHERN SAND LANCE,AMMODYTES DUBIUS
182,SNAKEBLENNY,LUMPENUS LUMPRETAEFORMIS
183,DAUBED SHANNY,LUMPENUS MACULATUS
184,RADIATED SHANNY,ULVARIA SUBBIFURCATA
187,RED GOATFISH,MULLUS AURATUS
188,STRIPED CUSK-EEL,OPHIDION MARGINATUM
190,WOLF EELPOUT,LYCENCHELYS VERRILLI
191,WRYMOUTH,CRYPTACANTHODES MACULATUS
192,ATLANTIC WOLFFISH,ANARHICHAS LUPUS
193,OCEAN POUT,MACROZOARCES AMERICANUS
194,FAWN CUSK-EEL,LEPOPHIDIUM PROFUNDORUM
196,NORTHERN PUFFER,SPHOEROIDES MACULATUS
197,GOOSEFISH,LOPHIUS AMERICANUS
198,STRIPED BURRFISH,CHILOMYCTERUS SCHOEPFI
201,PLANEHEAD FILEFISH,MONACANTHUS HISPIDUS
202,GRAY TRIGGERFISH,BALISTES CAPRISCUS
204,BANDED RUDDERFISH,SERIOLA ZONATA
205,ATLANTIC SAURY,SCOMBERESOX SAURUS
208,MACKEREL SCAD,DECAPTERUS MACARELLUS
209,BIGEYE SCAD,SELAR CRUMENOPHTHALMUS
211,ROUND SCAD,DECAPTERUS PUNCTATUS
212,ROUGH SCAD,TRACHURUS LATHAMI
213,SILVER RAG,ARIOMMA BONDI
229,WEITZMANS PEARLSIDES,MAUROLICUS WEITZMANI
232,SHORTNOSE GREENEYE,CHLOROPHTHALMUS AGASSIZI
262,ATLANTIC SOFT POUT,MELANOSTIGMA ATLANTICUM
263,BEARDFISH,POLYMIXIA LOWEI
270,COWNOSE RAY,RHINOPTERA BONASUS
287,SEVENSPINE BAY SHRIMP,CRANGON SEPTEMSPINOSA
292,PINK GLASS SHRIMP,PASIPHAEA MULTIDENTATA
294,POLAR LEBBEID,LEBBEUS POLARIS
295,FRIENDLY BLADE SHRIMP,SPIRONTOCARIS LILJEBORGII
296,BRISTLED LONGBEAK,DICHELOPANDALUS LEPTOCERUS
297,AESOP SHRIMP,PANDALUS MONTAGUI
298,PANDALUS PROPINQUUS,PANDALUS PROPINQUUS
299,NORWEGIAN SHRIMP,PONTOPHILUS NORVEGICUS
301,AMERICAN LOBSTER,HOMARUS AMERICANUS
306,NORTHERN SHRIMP,PANDALUS BOREALIS
310,RED DEEPSEA CRAB,GERYON QUINQUEDENS
312,JONAH CRAB,CANCER BOREALIS
313,ATLANTIC ROCK CRAB,CANCER IRRORATUS
314,BLUE CRAB,CALLINECTES SAPIDUS
316,BROWN ROCK SHRIMP,SICYONIA BREVIROSTRIS
318,HORSESHOE CRAB,LIMULUS POLYPHEMUS
321,COARSEHAND LADY CRAB,OVALIPES STEPHENSONI
322,LADY CRAB,OVALIPES OCELLATUS
324,NORTHERN STONE CRAB,LITHODES MAJA
325,SNOW CRAB,CHIONOECETES OPILIO
360,ATLANTIC SHARPNOSE SHARK,RHIZOPRIONODON TERRAENOVAE
375,SPINY BUTTERFLY RAY,GYMNURA ALTAVELA
376,SMOOTH BUTTERFLY RAY,GYMNURA MICRURA
401,SEA SCALLOP,PLACOPECTEN MAGELLANICUS
428,ATLANTIC THREAD HERRING,OPISTHONEMA OGLINUM
429,SPANISH SARDINE,SARDINELLA AURITA
435,INSHORE LIZARDFISH,SYNODUS FOETENS
439,SNAKEFISH,TRACHINOCEPHALUS MYOPS
444,ATLANTIC MIDSHIPMAN,PORICHTHYS PLECTRODON
459,BANK CUSK-EEL,OPHIDION HOLBROOKI
489,RED CORNETFISH,FISTULARIA PETIMBA
502,NORTHERN SHORTFIN SQUID,ILLEX ILLECEBROSUS
503,LONGFIN SQUID,LOLIGO PEALEII
504,ATLANTIC BRIEF SQUID,LOLLIGUNCULA BREVIS
512,SPOONARM OCTOPUS,BATHYPOLYPUS ARCTICUS
526,BANK SEA BASS,CENTROPRISTIS OCYURUS
527,ROCK SEA BASS,CENTROPRISTIS PHILADELPHICA
530,SAND PERCH,DIPLECTRUM FORMOSUM
563,COBIA,RACHYCENTRON CANADUM
570,CREVALLE JACK,CARANX HIPPOS
573,ATLANTIC BUMPER,CHLOROSCOMBRUS CHRYSURUS
596,VERMILION SNAPPER,RHOMBOPLITES AURORUBENS
627,TOMTATE,HAEMULON AUROLINEATUM
634,WHITEBONE PORGY,CALAMUS LEUCOSTEUS
640,PINFISH,LAGODON RHOMBOIDES
642,SCUP 2,STENOTOMUS CAPRINUS
651,BANDED DRUM,LARIMUS FASCIATUS
652,SOUTHERN KINGFISH,MENTICIRRHUS AMERICANUS
659,ATLANTIC SPADEFISH,CHAETODIPTERUS FABER
694,NORTHERN SENNET,SPHYRAENA BOREALIS
744,KING MACKEREL,SCOMBEROMORUS CAVALLA
745,SPANISH MACKEREL,SCOMBEROMORUS MACULATUS
749,HARVESTFISH,PEPRILUS ALEPIDOTUS
769,LEOPARD SEAROBIN,PRIONOTUS SCITULUS
793,DUSKY FLOUNDER,SYACIUM PAPILLOSUM
825,BLACKCHEEK TONGUEFISH,SYMPHURUS PLAGIUSA
832,ORANGE FILEFISH,ALUTERUS SCHOEPFI
856,STRIATED ARGENTINE,ARGENTINA STRIATA
865,SILVER ANCHOVY,ENGRAULIS EURYSTOLE
